,loan_start,interest_rate_yearly,total,principal,interest,minimum_monthly_payment,additional_payment,loan_end
0,4300000.0,0.023,20000.0,11758.333333333334,8241.666666666666,15000,5000,4288241.666666667
1,4288241.666666667,0.023,20000.0,11780.87013888889,8219.12986111111,15000,5000,4276460.796527778
2,4276460.796527778,0.023,20000.0,11803.450139988427,8196.549860011573,15000,5000,4264657.34638779
3,4264657.34638779,0.023,20000.0,11826.073419423403,8173.926580576596,15000,5000,4252831.272968366
4,4252831.272968366,0.023,20000.0,11848.740060143966,8151.259939856034,15000,5000,4240982.532908222
5,4240982.532908222,0.023,20000.0,11871.450145259241,8128.549854740758,15000,5000,4229111.082762962
6,4229111.082762962,0.023,20000.0,11894.203758037656,8105.796241962344,15000,5000,4217216.879004925
7,4217216.879004925,0.023,20000.0,11917.00098190723,8082.999018092772,15000,5000,4205299.878023017
8,4205299.878023017,0.023,20000.0,11939.841900455885,8060.158099544115,15000,5000,4193360.0361225614
9,4193360.0361225614,0.023,20000.0,11962.726597431758,8037.273402568242,15000,5000,4181397.30952513
10,4181397.30952513,0.023,20000.0,11985.655156743502,8014.344843256498,15000,5000,4169411.654368386
11,4169411.654368386,0.023,20000.0,12008.627662460593,7991.3723375394065,15000,5000,4157403.0267059254
12,4157403.0267059254,0.028999999999999998,20000.0,9952.94268546068,10047.05731453932,15000,5000,4147450.0840204647
13,4147450.0840204647,0.028999999999999998,20000.0,9976.995630283878,10023.004369716122,15000,5000,4137473.088390181
14,4137473.088390181,0.028999999999999998,20000.0,10001.106703057065,9998.893296942935,15000,5000,4127471.981687124
15,4127471.981687124,0.028999999999999998,20000.0,10025.27604425612,9974.72395574388,15000,5000,4117446.705642868
16,4117446.705642868,0.028999999999999998,20000.0,10049.503794696404,9950.496205303596,15000,5000,4107397.2018481717
17,4107397.2018481717,0.028999999999999998,20000.0,10073.790095533586,9926.209904466414,15000,5000,4097323.411752638
18,4097323.411752638,0.028999999999999998,20000.0,10098.13508826446,9901.86491173554,15000,5000,4087225.2766643735
