,loan_start,interest_rate_yearly,total,principal,interest,minimum_monthly_payment,additional_payment,loan_end
0,4300000.0,0.023,18710.29253406234,5468.625867395673,8241.666666666666,0.0,5000,4289531.374132604
1,4289531.374132604,0.023,18710.29253406234,5488.690733641513,8221.601800420825,0.0,5000,4279042.683398963
2,4279042.683398963,0.023,18710.29253406234,5508.7940575476605,8201.498476514678,0.0,5000,4268533.889341415
3,4268533.889341415,0.023,18710.29253406234,5528.935912824627,8181.356621237712,0.0,5000,4258004.953428591
4,4258004.953428591,0.023,18710.292534062337,5549.116373324207,8161.176160738131,0.0,5000,4247455.837055267
5,4247455.837055267,0.023,18710.292534062337,5569.335513039744,8140.957021022595,0.0,5000,4236886.501542227
6,4236886.501542227,0.023,18710.29253406234,5589.593406106404,8120.699127955935,0.0,5000,4226296.908136121
7,4226296.908136121,0.023,18710.29253406234,5609.890126801441,8100.402407260898,0.0,5000,4215687.01800932
8,4215687.01800932,0.023,18710.292534062337,5630.2257495444765,8080.066784517862,0.0,5000,4205056.792259775
9,4205056.792259775,0.023,18710.292534062337,5650.60034889777,8059.692185164568,0.0,5000,4194406.191910877
10,4194406.191910877,0.023,18710.29253406234,5671.013999566492,8039.2785344958465,0.0,5000,4183735.1779113105
11,4183735.1779113105,0.023,18710.292534062337,5691.466776398994,8018.825757663345,0.0,5000,4173043.7111349115
12,4173043.7111349115,0.028999999999999998,19899.712690636996,4814.857055394294,10084.855635242702,0.0,5000,4163228.854079517
13,4163228.854079517,0.028999999999999998,19899.712690636996,4838.576293278164,10061.136397358832,0.0,5000,4153390.277786239
14,4153390.277786239,0.028999999999999998,19899.712690636996,4862.3528526535865,10037.35983798341,0.0,5000,4143527.9249335853
15,4143527.9249335853,0.028999999999999998,19899.712690636996,4886.1868720474995,10013.525818589496,0.0,5000,4133641.738061538
16,4133641.738061538,0.028999999999999998,19899.712690636996,4910.078490321614,9989.634200315382,0.0,5000,4123731.6595712164
17,4123731.6595712164,0.028999999999999998,19899.712690636996,4934.027846673223,9965.684843963772,0.0,5000,4113797.6317245434
18,4113797.6317245434,0.028999999999999998,19899.712690636996,4958.035080636017,9941.67761000098,0.0,5000,4103839.5966439075
19,4103839.5966439075,0.028999999999999998,19899.712690636996,4982.100332080887,9917.612358556109,0.0,5000,4093857.4963118266
20,4093857.4963118266,0.028999999999999998,19899.712690636996,5006.223741216749,9893.488949420247,0.0,5000,4083851.27257061
21,4083851.27257061,0.028999999999999998,19899.712690636996,5030.405448591357,9869.30724204564,0.0,5000,4073820.8671220187
22,4073820.8671220187,0.028999999999999998,19899.712690636996,5054.645595092119,9845.067095544877,0.0,5000,4063766.2215269264
23,4063766.2215269264,0.028999999999999998,19899.712690636996,5078.944321946925,9820.768368690071,0.0,5000,4053687.2772049797
24,4053687.2772049797,0.035,22171.672051581703,4262.581467276326,11823.254558514525,1085.8360257908516,5000,4043338.8597119125
25,4043338.8597119125,0.035,22171.672051581703,4292.764351631107,11793.071674159744,1085.8360257908516,5000,4032960.2593344906
26,4032960.2593344906,0.035,22171.672051581703,4323.035269398586,11762.800756392266,1085.8360257908516,5000,4022551.388039301
27,4022551.388039301,0.035,22171.672051581703,4353.39447734289,11732.441548447961,1085.8360257908516,5000,4012112.157536167
28,4012112.157536167,0.035,22171.672051581703,4383.842232977031,11701.99379281382,1085.8360257908516,5000,4001642.4792773994
29,4001642.4792773994,0.035,22171.672051581703,4414.378794565104,11671.457231225748,1085.8360257908516,5000,3991142.2644570433
