,loan_start,interest_rate_yearly,total,principal,interest,minimum_monthly_payment,additional_payment,loan_end
0,4300000.0,0.023,20000.0,5468.625867395673,8241.666666666666,1289.7074659376613,5000.0,4288241.666666667
1,4288241.666666667,0.023,20000.0,5491.162672951228,8219.12986111111,1289.7074659376613,5000.0,4276460.796527778
2,4276460.796527778,0.023,20000.0,5513.742674050765,8196.549860011573,1289.7074659376613,5000.0,4264657.34638779
3,4264657.34638779,0.023,20000.0,5536.3659534857425,8173.926580576596,1289.7074659376613,5000.0,4252831.272968366
4,4252831.272968366,0.023,20000.0,5559.032594206305,8151.259939856034,1289.7074659376613,5000.0,4240982.532908222
5,4240982.532908222,0.023,20000.0,5581.742679321581,8128.549854740758,1289.7074659376613,5000.0,4229111.082762962
6,4229111.082762962,0.023,20000.0,5604.496292099995,8105.796241962344,1289.7074659376613,5000.0,4217216.879004925
7,4217216.879004925,0.023,20000.0,5627.293515969567,8082.999018092772,1289.7074659376613,5000.0,4205299.878023017
8,4205299.878023017,0.023,20000.0,5650.134434518223,8060.158099544115,1289.7074659376613,5000.0,4193360.0361225614
9,4193360.0361225614,0.023,20000.0,5673.019131494097,8037.273402568242,1289.7074659376613,5000.0,4181397.30952513
10,4181397.30952513,0.023,20000.0,5695.9476908058405,8014.344843256498,1289.7074659376613,5000.0,4169411.654368386
11,4169411.654368386,0.023,20000.0,5718.920196522932,7991.3723375394065,1289.7074659376613,5000.0,4157403.0267059254
12,4157403.0267059254,0.028999999999999998,20000.0,4796.810836618019,10047.05731453932,156.1318488426623,5000.0,4147450.0840204647
13,4147450.0840204647,0.028999999999999998,20000.0,4820.863781441216,10023.004369716122,156.1318488426623,5000.0,4137473.088390181
14,4137473.088390181,0.028999999999999998,20000.0,4844.9748542144025,9998.893296942935,156.1318488426623,5000.0,4127471.981687124
15,4127471.981687124,0.028999999999999998,20000.0,4869.144195413457,9974.72395574388,156.1318488426623,5000.0,4117446.705642868
16,4117446.705642868,0.028999999999999998,20000.0,4893.371945853742,9950.496205303596,156.1318488426623,5000.0,4107397.2018481717
17,4107397.2018481717,0.028999999999999998,20000.0,4917.658246690924,9926.209904466414,156.1318488426623,5000.0,4097323.411752638
18,4097323.411752638,0.028999999999999998,20000.0,4942.003239421798,9901.86491173554,156.1318488426623,5000.0,4087225.2766643735
19,4087225.2766643735,0.028999999999999998,20000.0,4966.407065885103,9877.461085272234,156.1318488426623,5000.0,4077102.7377496455
20,4077102.7377496455,0.028999999999999998,20000.0,4990.869868262362,9852.998282894976,156.1318488426623,5000.0,4066955.7360325404
21,4066955.7360325404,0.028999999999999998,20000.0,5015.3917890787,9828.476362078638,156.1318488426623,5000.0,4056784.212394619
22,4056784.212394619,0.028999999999999998,20000.0,5039.972971203677,9803.89517995366,156.1318488426623,5000.0,4046588.107574573
23,4046588.107574573,0.028999999999999998,20000.0,5064.613557852121,9779.254593305217,156.1318488426623,5000.0,4036367.362167878
24,4036367.362167878,0.035,21017.107163839875,4244.369024183563,11772.738139656312,0.0,5000.0,4027122.9931436945
25,4027122.9931436945,0.035,21017.107163839875,4271.331767170766,11745.775396669109,0.0,5000.0,4017851.661376524
26,4017851.661376524,0.035,21017.107163839875,4298.37315149168,11718.734012348195,0.0,5000.0,4008553.288225032
27,4008553.288225032,0.035,21017.107163839875,4325.493406516865,11691.61375732301,0.0,5000.0,3999227.794818515
28,3999227.794818515,0.035,21017.107163839875,4352.692762285873,11664.414401554002,0.0,5000.0,3989875.102056229
29,3989875.102056229,0.035,21017.107163839875,4379.971449509207,11637.135714330669,0.0,5000.0,3980495.1306067198
30,3980495.1306067198,0.035,21017.107163839875,4407.329699570275,11609.7774642696,0.0,5000.0,3971087.8009071494
31,3971087.8009071494,0.035,21017.107163839875,4434.767744527355,11582.33941931252,0.0,5000.0,3961653.0331626222
32,3961653.0331626222,0.035,21017.107163839875,4462.28581711556,11554.821346724315,0.0,5000.0,3952190.7473455067
33,3952190.7473455067,0.035,21017.107163839875,4489.884150748814,11527.223013091061,0.0,5000.0,3942700.863194758
34,3942700.863194758,0.035,21017.107163839875,4517.56297952183,11499.544184318045,0.0,5000.0,3933183.3002152364
35,3933183.3002152364,0.035,21017.107163839875,4545.322538212102,11471.784625627773,0.0,5000.0,3923637.9776770244
36,3923637.9776770244,0.044950000000000004,23147.738720247995,3450.444795532807,14697.293924715188,0.0,5000.0,3915187.532881492
37,3915187.532881492,0.044950000000000004,23147.738720247995,3482.0987533294065,14665.639966918588,0.0,5000.0,3906705.4341281625
38,3906705.4341281625,0.044950000000000004,23147.738720247995,3513.871281576252,14633.867438671743,0.0,5000.0,3898191.562846586
39,3898191.562846586,0.044950000000000004,23147.738720247995,3545.7628244184907,14601.975895829504,0.0,5000.0,3889645.8000221676
40,3889645.8000221676,0.044950000000000004,23147.738720247995,3577.773827664958,14569.964892583037,0.0,5000.0,3881068.0261945026
41,3881068.0261945026,0.044950000000000004,23147.738720247995,3609.9047387944192,14537.833981453576,0.0,5000.0,3872458.121455708
42,3872458.121455708,0.044950000000000004,23147.738720247995,3642.156006961821,14505.582713286174,0.0,5000.0,3863815.9654487465
43,3863815.9654487465,0.044950000000000004,23147.738720247995,3674.528083004565,14473.21063724343,0.0,5000.0,3855141.437365742
44,3855141.437365742,0.044950000000000004,23147.738720247995,3707.021419448818,14440.717300799177,0.0,5000.0,3846434.415946293
45,3846434.415946293,0.044950000000000004,23147.738720247995,3739.6364705158376,14408.102249732157,0.0,5000.0,3837694.7794757774
46,3837694.7794757774,0.044950000000000004,23147.738720247995,3772.3736921283107,14375.365028119684,0.0,5000.0,3828922.405783649
47,3828922.405783649,0.044950000000000004,23147.738720247995,3805.233541916741,14342.505178331254,0.0,5000.0,3820117.1722417325
48,3820117.1722417325,0.044950000000000004,22861.350152092633,3551.8279110704752,14309.522241022158,0.0,5000.0,3811565.344330662
49,3811565.344330662,0.044950000000000004,22861.350152092633,3583.861633120694,14277.488518971939,0.0,5000.0,3802981.4826975414
50,3802981.4826975414,0.044950000000000004,22861.350152092633,3616.0153481547586,14245.334803937874,0.0,5000.0,3794365.467349387
51,3794365.467349387,0.044950000000000004,22861.350152092633,3648.2895056463876,14213.060646446245,0.0,5000.0,3785717.17784374
52,3785717.17784374,0.044950000000000004,22861.350152092633,3680.6845567529544,14180.665595339678,0.0,5000.0,3777036.4932869873
53,3777036.4932869873,0.044950000000000004,22861.350152092633,3713.200954321792,14148.149197770841,0.0,5000.0,3768323.2923326655
54,3768323.2923326655,0.044950000000000004,22861.350152092633,3745.839152896522,14115.51099919611,0.0,5000.0,3759577.453179769
55,3759577.453179769,0.044950000000000004,22861.350152092633,3778.5996087234125,14082.75054336922,0.0,5000.0,3750798.8535710457
56,3750798.8535710457,0.044950000000000004,22861.350152092633,3811.4827797577564,14049.867372334877,0.0,5000.0,3741987.370791288
57,3741987.370791288,0.044950000000000004,22861.350152092633,3844.489125670265,14016.861026422368,0.0,5000.0,3733142.8816656177
58,3733142.8816656177,0.044950000000000004,22861.350152092633,3877.619107853505,13983.731044239128,0.0,5000.0,3724265.262557764
59,3724265.262557764,0.044950000000000004,22861.350152092633,3910.873189428341,13950.476962664292,0.0,5000.0,3715354.3893683357
60,3715354.3893683357,0.05495,24939.888002279135,2926.6610276299652,17013.22697464917,0.0,5000.0,3707427.728340706
61,3707427.728340706,0.05495,24939.888002279135,2962.9585295856523,16976.929472693482,0.0,5000.0,3699464.7698111203
62,3699464.7698111203,0.05495,24939.888002279135,2999.4222438523793,16940.465758426755,0.0,5000.0,3691465.347567268
63,3691465.347567268,0.05495,24939.888002279135,3036.0529315440217,16903.835070735113,0.0,5000.0,3683429.2946357243
